time,node,obs,obs_st
15,1,I,1
15,2,I,1
15,5,I,1
15,7,I,1
15,8,I,1
15,12,I,1
15,14,I,1
15,16,I,1
15,17,I,1
15,18,I,1
15,19,I,1
15,20,I,1
15,21,I,1
15,22,I,1
15,23,I,1
15,24,I,1
15,26,I,1
15,31,I,1
15,34,I,1
15,36,I,1
15,38,I,1
15,42,I,1
15,43,I,1
15,45,I,1
15,48,I,1
15,53,I,1
15,58,I,1
15,59,I,1
15,60,I,1
15,61,I,1
15,63,I,1
15,64,I,1
15,66,I,1
15,67,I,1
15,70,I,1
15,71,I,1
15,72,I,1
15,75,I,1
15,77,I,1
15,78,I,1
15,79,I,1
15,83,I,1
15,86,I,1
15,87,I,1
15,88,I,1
15,89,I,1
15,90,I,1
15,91,I,1
15,94,I,1
15,97,I,1
15,99,I,1
