time,node,obs,obs_st
15,1,I,1
15,4,I,1
15,5,I,1
15,6,I,1
15,7,I,1
15,12,I,1
15,13,I,1
15,14,I,1
15,15,I,1
15,17,I,1
15,18,I,1
15,19,I,1
15,20,I,1
15,22,I,1
15,23,I,1
15,25,I,1
15,28,I,1
15,29,I,1
15,30,I,1
15,32,I,1
15,34,I,1
15,36,I,1
15,37,I,1
15,41,I,1
15,46,I,1
15,47,I,1
15,53,I,1
15,58,I,1
15,59,I,1
15,60,I,1
15,61,I,1
15,62,I,1
15,63,I,1
15,65,I,1
15,66,I,1
15,67,I,1
15,68,I,1
15,70,I,1
15,72,I,1
15,73,I,1
15,74,I,1
15,78,I,1
15,79,I,1
15,80,I,1
15,81,I,1
15,82,I,1
15,84,I,1
15,87,I,1
15,92,I,1
15,94,I,1
15,97,I,1
15,98,I,1
15,99,I,1
