time,node,obs,obs_st
15,1,I,1
15,2,I,1
15,8,I,1
15,9,I,1
15,10,I,1
15,11,I,1
15,13,I,1
15,15,I,1
15,17,I,1
15,18,I,1
15,19,I,1
15,20,I,1
15,21,I,1
15,22,I,1
15,23,I,1
15,25,I,1
15,26,I,1
15,29,I,1
15,30,I,1
15,31,I,1
15,37,I,1
15,41,I,1
15,45,I,1
15,47,I,1
15,48,I,1
15,51,I,1
15,53,I,1
15,54,I,1
15,55,I,1
15,58,I,1
15,61,I,1
15,62,I,1
15,63,I,1
15,66,I,1
15,68,I,1
15,69,I,1
15,71,I,1
15,76,I,1
15,77,I,1
15,86,I,1
15,87,I,1
15,89,I,1
15,90,I,1
15,91,I,1
15,93,I,1
15,94,I,1
15,96,I,1
15,97,I,1
15,98,I,1
